,ds,iOS,iOS_pi_lower,iOS_pi_upper,web,web_pi_lower,web_pi_upper,Android,Android_pi_lower,Android_pi_upper,mobile_web,mobile_web_pi_lower,mobile_web_pi_upper,Total,Total_pi_lower,Total_pi_upper
89,2018-05-06,60462.22055198257,53663.66039520533,67409.31146729775,66608.0599351793,49967.04164324614,83480.34364083181,25765.816440092854,23067.768502880597,28480.46889825032,29463.41293940139,25988.083067072675,32682.155865661873,182299.50986665615,152686.55360840476,212052.27987204172
90,2018-05-07,64887.10304199271,57609.76636004382,71790.4504115201,107352.87247650351,90562.57406075987,124378.58124160637,27484.077566230942,24810.503499166098,30042.789935069097,30934.39369265329,27760.857674672374,34142.160208435605,230658.44677738048,200743.7015946422,260353.98179663118
91,2018-05-08,64475.88384078909,57565.748062964594,71246.11653959574,107597.62204327442,89793.04628387724,124882.17543484426,27802.02148108504,25153.809479530548,30466.211455968794,31119.904595247266,27703.951671926396,34595.502102107625,230995.4319603958,200216.55549829878,261190.0055325164
92,2018-05-09,64064.26816923877,57259.280019129495,71440.22571199376,107473.55674324188,90602.49326504915,124447.79337007749,27841.996939631677,25247.88494776597,30575.32943514833,30485.27403965409,27236.33374760594,33762.38320079736,229865.09589176642,200345.99197955054,260225.73171801696
93,2018-05-10,62960.47771132467,55608.41662293735,69711.89565476596,104351.06126945946,86301.31854973784,120780.96811621243,27469.052996277132,24649.438765998028,30136.9508942304,29905.37753759711,26581.610720580717,33305.3203741671,224685.96951465838,193140.78465925393,253935.13503937592
94,2018-05-11,60174.723975464374,52877.5219162829,66933.88978524735,93957.49406084664,77478.7526732239,110696.80813797384,26626.59391022092,23938.589230637226,29209.926457320442,28856.391624575113,25466.040386559464,32599.32131957509,209615.20357110703,179760.9042067035,239439.94570011672
95,2018-05-12,56508.93052098557,49568.46637073419,63281.02145174612,64628.05056377823,47530.64017330402,81920.07953308294,25469.989249020513,22740.827107618858,28250.670415406883,28133.79496702197,24727.95876572466,31227.540266564632,174740.7653008063,144567.89241738172,204679.31166680058
96,2018-05-13,59104.5602142037,51930.226873888256,65885.72757520879,70249.56485314918,52822.601854064524,87497.20403692256,26072.04601711843,23293.658663441664,28818.83123198057,29379.39655369779,26059.023295808238,33003.74015903508,184805.5676381691,154105.51068720268,215205.50300314702
97,2018-05-14,63865.80454695744,56919.7779540746,71059.21636955552,111840.90832462398,94188.87674634672,127365.99312500177,27908.691043377068,25213.84089406,30428.643979793986,30905.60948814088,27657.398654209323,34296.71223594059,234521.01340309938,203979.89424869066,263150.56571029185
98,2018-05-15,63834.97396028353,56870.03258171837,70776.83757408033,112867.71173434735,95602.80183724494,130410.44130534884,28348.156981786316,25599.82400509899,30895.97592846031,31169.09970613655,27953.389338465142,34527.48381928252,236219.94238255377,206026.04776252745,266610.73862717196
99,2018-05-16,63838.702476948296,56993.64583694724,71458.560551311,113443.34682287561,95874.24157093761,129788.80620776201,28509.945291351556,26012.13014145097,31166.04327717749,30633.710484736475,27474.070970213947,34026.21300672894,236425.70507591194,206354.08851954975,266439.62304297945
100,2018-05-17,63175.25180409106,56231.78479889786,70517.44776502806,110922.18298832155,95012.30367482871,126206.06592413619,28256.214854569735,25765.337106880466,31001.87570235788,30172.28247422854,26757.546343308033,33490.13804689166,232525.93212121088,203766.9719239151,261215.5274384138
101,2018-05-18,60844.253543006,54059.85059569542,67729.86665122274,101017.8444223213,83636.86409196236,116027.50074594043,27527.515239954068,24897.321157851573,30229.23901177603,29258.459268509123,25825.95837345823,32866.358186424564,218648.0724737905,188419.9942189676,246852.96459536377
102,2018-05-19,57636.71737868138,50954.07139311437,64732.32757848602,72054.43365733264,54675.589218372756,90107.6681631507,26476.474871602742,23823.15201106975,29107.51862694964,28684.753965458596,25037.117176866897,32096.70745508031,184852.37987307538,154489.92979942376,216044.22182366668
